Problem,Solution Length,Worse Rate,n,min_temperature,max_temperature,probability_of_shuffle,probability_of_heuristic,a,b,duration_of_execution_in_seconds,k,max_length_percent_of_cycle,swap_states_probability,closeness,cooling_rate
ftv70,2426,-19.62077493816983,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5699,-1.3862081066853875,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16482,-12.498483193787152,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,1932,-16.511387163561082,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2506,-26.616121308858737,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1572,-18.19338422391857,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46206,-21.590269661948668,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1670,-8.383233532934128,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1917,-16.1189358372457,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8869,-22.144548427105647,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1730,-14.855491329479761,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1789,-34.99161542761318,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3802,-28.458705944239867,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3471,-28.983002016709875,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42223,-8.407739857423678,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2281,-22.139412538360375,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2410,-19.087136929460584,15,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5637,-0.3015788540003541,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16355,-11.819015591562206,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,1952,-17.366803278688522,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2542,-27.65538945712038,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1541,-16.547696301103173,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46880,-22.717576791808867,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1687,-9.306461173681086,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1959,-17.91730474732006,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8576,-19.484608208955223,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1708,-13.758782201405154,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1790,-35.027932960893864,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3827,-28.92605173765351,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3390,-27.286135693215343,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42395,-8.779337185988908,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2241,-20.74966532797859,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2444,-20.212765957446805,10,0.1,100,0.3,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5642,-0.3899326479971563,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16205,-11.002776920703482,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,1962,-17.78797145769623,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2483,-25.936367297623846,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1640,-21.58536585365853,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46887,-22.729114679975254,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1670,-8.383233532934128,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1886,-14.740190880169664,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8829,-21.79182240344319,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1788,-17.61744966442953,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1802,-35.46059933407325,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3745,-27.369826435246992,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3535,-30.26874115983027,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42387,-8.762120461462246,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2275,-21.93406593406594,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2360,-17.372881355932208,10,0.1,100,0.4,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5697,-1.3515885553800189,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16240,-11.19458128078817,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2513,-26.820533227218462,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1498,-14.152202937249669,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46047,-21.31952135861185,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1662,-7.942238267148014,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1982,-18.86982845610494,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8950,-22.849162011173192,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1726,-14.658169177288528,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1729,-23.308270676691734,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1792,-35.10044642857143,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3859,-29.515418502202635,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3492,-29.41008018327605,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42244,-8.453271470504689,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3904,-29.431352459016395,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2182,-18.60678276810266,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2520,-22.61904761904762,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5655,-0.6189213085764749,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,15914,-9.37539273595577,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,1920,-15.989583333333329,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2550,-27.882352941176464,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1501,-14.323784143904064,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46465,-22.027332400731737,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1662,-7.942238267148014,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1919,-16.206357477853047,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8794,-21.480554923811695,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1756,-16.11617312072893,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1803,-35.49639489739323,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3838,-29.129755080771233,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3467,-28.90106720507643,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42341,-8.662998039725096,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2255,-21.241685144124162,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2511,-22.34169653524492,10,0.1,100,0.6,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5674,-0.9517095523440275,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16271,-11.363776043267166,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,1993,-19.06673356748621,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2562,-28.220140515222482,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1574,-18.29733163913596,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46358,-21.847361836144785,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1683,-9.090909090909093,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1965,-18.167938931297712,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8729,-20.89586436017872,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1788,-17.61744966442953,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1728,-23.263888888888886,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1769,-34.256642170717925,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3904,-30.32786885245902,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3512,-29.812072892938502,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42608,-9.235354862936546,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2300,-22.782608695652172,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2265,-13.907284768211923,10,0.1,100,0.5,0.3,1,1,2,10,0.2,0.1,1.5,0.9
p43,5671,-0.8993122906013014,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16345,-11.765065769348425,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2639,-30.314513073133767,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1602,-19.725343320848935,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46171,-21.530831041129716,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1667,-8.21835632873426,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1991,-19.236564540431942,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8512,-18.879229323308266,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1788,-17.61744966442953,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1793,-35.13664249860568,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3867,-29.66123610033617,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3451,-28.57142857142857,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42526,-9.0603395569769,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3846,-28.367134685387413,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2241,-20.74966532797859,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2445,-20.245398773006144,10,0.1,100,0.5,0.4,1,1,2,10,0.2,0.1,1.5,0.9
p43,5664,-0.7768361581920971,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16690,-13.588975434391841,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,1967,-17.996949669547533,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2550,-27.882352941176464,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1552,-17.13917525773195,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46275,-21.7071853052404,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1670,-8.383233532934128,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1880,-14.468085106382972,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8822,-21.729766492858758,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1755,-16.068376068376068,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1730,-23.35260115606937,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1772,-34.36794582392777,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3846,-29.27717108684348,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3505,-29.671897289586298,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42348,-8.678095777840738,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3893,-29.23195479064988,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2310,-23.116883116883116,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2413,-19.187733112308322,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5691,-1.247583904410476,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16419,-12.162738291004331,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2535,-27.455621301775153,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1598,-19.524405506883596,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46267,-21.69364774029006,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1666,-8.16326530612244,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1987,-19.073980875692,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8727,-20.87773576257591,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1774,-16.96730552423901,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1733,-23.48528563185228,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1768,-34.219457013574655,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3880,-29.896907216494853,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3458,-28.716020821283976,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42284,-8.53987323810425,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2204,-19.419237749546284,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2447,-20.31058438904782,10,0.1,100,0.5,0.6,1,1,2,10,0.2,0.1,1.5,0.9
p43,5674,-0.9517095523440275,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ry48p,16088,-10.355544505221275,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv64,2544,-27.712264150943398,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv33,1572,-18.19338422391857,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
kro124p,46591,-22.23820051082828,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv38,1688,-9.36018957345972,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv55,1907,-15.6790770844258,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft53,8772,-21.283629730962147,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv35,1777,-17.10748452447946,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg323,1734,-23.529411764705884,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg358,1811,-35.78133627829928,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg443,3784,-28.118393234672297,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
rbg403,3382,-27.11413364872857,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ft70,42509,-9.023971394292971,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv170,3887,-29.12271674813482,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv47,2194,-19.05195989061076,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
ftv70,2428,-19.686985172981878,10,0.1,100,0.5,0.5,1,1,2,10,0.2,0.1,1.5,0.9
p43,5678,-1.0214864388869387,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ry48p,16413,-12.130628160604402,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ftv44,2003,-19.470793809286064,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ftv64,2550,-27.882352941176464,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ftv33,1600,-19.625,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
kro124p,46591,-22.23820051082828,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ftv38,1616,-5.3217821782178305,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ftv55,2012,-20.07952286282307,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ft53,8776,-21.319507748404746,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ftv35,1766,-16.591166477916204,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
br17,39,0.0,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
rbg323,1723,-23.041207196749852,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
rbg358,1754,-33.69441277080958,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
rbg443,3784,-28.118393234672297,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
rbg403,3462,-28.798382437897175,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
ft70,42608,-9.235354862936546,10,0.1,100,0.5,0.5,1,1,2,15,0.2,0.1,1.5,0.9
